Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
471;Aken, Gewerbering;4900;de:15082:4900;Aken (Elbe);15082005;12,088692;51,850713
471;Aken, Heiratsberg;39333;de:15082:39333;Aken (Elbe);15082005;12,048454;51,849264
471;Aken, Hopfenstr.;39334;de:15082:39334;Aken (Elbe);15082005;12,052670;51,849353
471;Aken, Magnesit;4907;de:15082:4907;Aken (Elbe);15082005;12,083391;51,850888
471;Aken, Markt;16812;de:15082:16812;Aken (Elbe);15082005;12,044659;51,854550
471;Aken, Neu-Tornau;4909;de:15082:4909;Aken (Elbe);15082005;12,065249;51,852666
471;Aken, Puschkinstr.;39335;de:15082:39335;Aken (Elbe);15082005;12,076701;51,851558
471;Aken, Schützenplatz;39336;de:15082:39336;Aken (Elbe);15082005;12,042622;51,849757
471;Aken, Seniorenzentrum;4912;de:15082:4912;Aken (Elbe);15082005;12,072720;51,851950
471;Aken, Str. des Friedens (Ersatzhalt);39341;de:15082:39341;Aken (Elbe);15082005;12,068832;51,851673
471;Aken, Susigker Str.;39337;de:15082:39337;Aken (Elbe);15082005;12,056554;51,852263
471;Aken, Volksbad;4913;de:15082:4913;Aken (Elbe);15082005;12,043746;51,851787
471;Aken, Waldstraße (Ersatzhalt);39342;de:15082:39342;Aken (Elbe);15082005;12,067939;51,848368
471;Chörau;4899;de:15082:4899;Osternienburger Land;15082256;12,113404;51,815653
471;Dessau, Albrechtsplatz;39328;de:15001:39328;Dessau-Roßlau;15001000;12,243932;51,840847
471;Dessau, Amtsweg;3161;de:15001:3161;Dessau-Roßlau;15001000;12,187337;51,839177
471;Dessau, Bauhausmuseum;30320;de:15001:30320;Dessau-Roßlau;15001000;12,242692;51,834300
471;Dessau, Ferdinand-von-Schill-Str.;15875;de:15001:15875;Dessau-Roßlau;15001000;12,244893;51,838681
471;Dessau, Finanzamt;3307;de:15001:3307;Dessau-Roßlau;15001000;12,206061;51,836951
471;Dessau, Hauptbahnhof (Tram/Bus);3167;de:15001:3167;Dessau-Roßlau;15001000;12,236524;51,839973
471;Dessau, Junkerspark;3169;de:15001:3169;Dessau-Roßlau;15001000;12,181392;51,816628
471;Dessau, Kleinkühnau, Zentralfriedhof Süd;15940;de:15001:15940;Dessau-Roßlau;15001000;12,174665;51,841229
471;Dessau, Landesverwaltungsamt;3296;de:15001:3296;Dessau-Roßlau;15001000;12,211669;51,836618
471;Dessau, Mosigkau, Knobelsdorffallee;3221;de:15001:3221;Dessau-Roßlau;15001000;12,150100;51,812040
471;Dessau, Mosigkauer Str.;3213;de:15001:3213;Dessau-Roßlau;15001000;12,180672;51,840374
