Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
301;Sennewitz, Schule;10238;de:15088:10238;Petersberg;15088295;11,953546;51,541827
301;Teicha, Bahnhof (Bus);10244;de:15088:10244;Petersberg;15088295;11,958487;51,554199
301;Teicha, Löbnitzer Str.;10245;de:15088:10245;Petersberg;15088295;11,957462;51,565509
353;Braschwitz, Neubauernstr.;30702;de:15088:30702;Landsberg;15088195;12,057047;51,522549
353;Braschwitz, Saarbrücker Str.;9677;de:15088:9677;Landsberg;15088195;12,059592;51,517088
353;Dammendorf, Blumenstr.;30704;de:15088:30704;Landsberg;15088195;12,128540;51,576829
353;Dammendorf, Zum Park;9694;de:15088:9694;Landsberg;15088195;12,130846;51,576363
353;Niemberg, Alte Gärtnerei;10169;de:15088:10169;Landsberg;15088195;12,094690;51,550755
353;Niemberg, Bahnhof (Bus);30516;de:15088:30516;Landsberg;15088195;12,098817;51,550789
353;Niemberg, Landrain;30609;de:15088:30609;Landsberg;15088195;12,084884;51,549907
353;Niemberg, Schule;10171;de:15088:10171;Landsberg;15088195;12,103156;51,553084
353;Niemberg, Wendenring;22542;de:15088:22542;Landsberg;15088195;12,089598;51,551168
353;Oppin, Flugplatz;10173;de:15088:10173;Landsberg;15088195;12,058515;51,547236
353;Peißen (Saalekreis), Halle-Center;13509;de:15088:13509;Landsberg;15088195;12,054231;51,511716
353;Plößnitz (Braschwitz), Haselnußweg;10191;de:15088:10191;Landsberg;15088195;12,061439;51,537314
353;Plößnitz (Braschwitz), Maschwitzer Weg;10190;de:15088:10190;Landsberg;15088195;12,060775;51,534508
353;Schwerz, Zum Teich;10231;de:15088:10231;Landsberg;15088195;12,132161;51,564226
450;Berga, Kreuzung;2691;de:15087:2691;Berga;15087055;11,007330;51,458153
450;Berga-Kelbra (Kyff.), Bahnhof (Bus);2690;de:15087:2690;Berga;15087055;11,013665;51,452022
450;Bösenrode (Berga), Wendeplatz;2676;de:15087:2676;Berga;15087055;10,993895;51,466842
450;Breitenstein;2658;de:15087:2658;Südharz;15087412;10,948078;51,619189
450;Hackpfüffel;2535;de:15087:2535;Brücken-Hackpfüffel;15087101;11,202153;51,419270
450;Heimkehle (Uftrungen);31101;de:15087:31101;Südharz;15087412;10,955065;51,497457
450;Heimkehle (Uftrungen), Abzweig;2515;de:15087:2515;Südharz;15087412;10,972957;51,494578
450;Kelbra (Kyff.);2437;de:15087:2437;Kelbra (Kyffhäuser);15087250;11,043921;51,432674
450;Martinsrieth;2379;de:15087:2379;Wallhausen;15087440;11,242494;51,441213
450;Riethnordhausen;2286;de:15087:2286;Wallhausen;15087440;11,237492;51,421001
450;Roßla, Bahnhof (Bus);2271;de:15087:2271;Südharz;15087412;11,066372;51,463267
450;Roßla, Post;6493;de:15087:6493;Südharz;15087412;11,073136;51,462959
450;Roßla, Rosspassage;2273;de:15087:2273;Südharz;15087412;11,072220;51,463065
450;Rottleberode, Chausseehaus;2257;de:15087:2257;Südharz;15087412;10,947824;51,524878
450;Rottleberode, Gipswerk;2258;de:15087:2258;Südharz;15087412;10,951457;51,511442
450;Rottleberode, Hauptstr.;2295;de:15087:2295;Südharz;15087412;10,946554;51,521466
450;Rottleberode, Post;2259;de:15087:2259;Südharz;15087412;10,946572;51,515470
450;Sangerhausen, Alte Promenade;2250;de:15087:2250;Sangerhausen;15087370;11,296169;51,471134
450;Sangerhausen, Am Röhrgraben;2225;de:15087:2225;Sangerhausen;15087370;11,309212;51,475714
450;Sangerhausen, Am Schützenplatz;22801;de:15087:22801;Sangerhausen;15087370;11,293980;51,471393
450;Sangerhausen, Arbeitsamt;2251;de:15087:2251;Sangerhausen;15087370;11,284195;51,469732
450;Sangerhausen, Bonifatiusplatz;2253;de:15087:2253;Sangerhausen;15087370;11,303825;51,479668
450;Sangerhausen, Busbahnhof;2233;de:15087:2233;Sangerhausen;15087370;11,295806;51,479385
450;Sangerhausen, Förderzentrum;22344;de:15087:22344;Sangerhausen;15087370;11,288759;51,459970
450;Sangerhausen, Helmepark 3;17184;de:15087:17184;Sangerhausen;15087370;11,273788;51,467984
450;Sangerhausen, Karl-Liebknecht-Str.;2245;de:15087:2245;Sangerhausen;15087370;11,291954;51,464573
450;Sangerhausen, Klinikum;2073;de:15087:2073;Sangerhausen;15087370;11,310812;51,473489
450;Sangerhausen, Kyselhäuser Str.;2244;de:15087:2244;Sangerhausen;15087370;11,290867;51,471031
450;Sangerhausen, Obere Karl-Liebknecht-Str.;2222;de:15087:2222;Sangerhausen;15087370;11,297410;51,456870
450;Sangerhausen, Scholl-Gymnasium;2223;de:15087:2223;Sangerhausen;15087370;11,294566;51,462140
450;Sangerhausen, Steinberger Weg;2226;de:15087:2226;Sangerhausen;15087370;11,315416;51,475142
450;Sangerhausen, Tennstedt;2242;de:15087:2242;Sangerhausen;15087370;11,305894;51,473020
450;Sittendorf (Kelbra), Bahnhof (Bus);2184;de:15087:2184;Kelbra (Kyffhäuser);15087250;11,101166;51,433108
450;Stolberg (Harz), Am Markt;2170;de:15087:2170;Südharz;15087412;10,956520;51,574408
450;Stolberg (Harz), Bahnhof (Bus);2171;de:15087:2171;Südharz;15087412;10,957250;51,567564
450;Stolberg (Harz), Forsthaus Tannengarten;5472;de:15087:5472;Südharz;15087412;10,955555;51,612395
450;Stolberg (Harz), Thyratal;2260;de:15087:2260;Südharz;15087412;10,956894;51,532755
450;Stolberg (Harz), Zum Zoll;2262;de:15087:2262;Südharz;15087412;10,956431;51,557897
