Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Zerbst/Anhalt, Käsperstr.;7693;de:15082:7693;12,076970;51,961740;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Kastanienallee;7705;de:15082:7705;12,085257;51,958861;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Kaufland;22916;de:15082:22916;12,085187;51,966946;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Kirschallee;22917;de:15082:22917;12,101473;51,952825;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Krankenhaus;7703;de:15082:7703;12,093213;51,960918;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Krankenhaus/Bahnhofstr.;5902;de:15082:5902;12,093168;51,959831;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Kupfergasse;7695;de:15082:7695;12,080514;51,967779;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Lindauer Str.;7727;de:15082:7727;12,081634;51,973287;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Magdeburger Str.;7830;de:15082:7830;12,071759;51,969599;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Marcellstr.;7822;de:15082:7822;12,102882;51,963945;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Markt;7674;de:15082:7674;12,084568;51,967259;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Neuer Weg;15897;de:15082:15897;12,060891;51,974791;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Zerbst/Anhalt, Post;7706;de:15082:7706;12,085994;51,962169;15082430;Zerbst/Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
